id,titulo,score,data_publicacao,link,snippet
17,"Resolução nº 509, de 07 de abril de 2016",4.00,"04/04/2025","https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2016/resolucao-no-509.pdf/view","...às pessoas com deficiência e à saúde bucal; § 6o. garantia da atenção integral à saúde da pessoa com deficiência, da pessoa idosa e das pessoas com doenças crônicas, raras e negligenciad..."
18,"Resolução nº 500, de 12 de fevereiro de 2015",4.00,"04/04/2025","https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2015/resolucao-no-500.pdf/view","...do, especialmente, a participação de entidades, coletivos e movimentos de jovens e de idosos e aposentados; e V - pessoas com deficiência e com necessidades especiais, patologias e doenças rara..."
19,"Resolução nº 686, de 14 de setembro de 2022",4.00,"06/10/2022","https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2022/resolucao-no-686.pdf/view","...rticulação Brasileira de Lésbicas (ABL); e) Associação Brasileira de Ensino em Fisioterapia (ABENFISIO); f) Associação Brasileira Superando o Lúpus, Doenças Reumáticas e Doenças Raras (S..."
20,"Resolução nº 614, de 15 de fevereiro de 2019",4.00,"04/04/2025","https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2019/resolucao-no-614.pdf/view","...soas com deficiência e à saúde bucal; VI - garantia da atenção integral à saúde da mulher, do homem, da pessoa com deficiência, da pessoa idosa e das pessoas com doenças crônicas, raras e..."
21,"Resolução no 541, de 17 de fevereiro de 2017",4.00,"04/04/2025","https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2017/resolucao-no-541.pdf/view","...ção às pessoas com deficiência e à saúde bucal; VI - garantia da atenção integral à saúde da pessoa com deficiência, da pessoa idosa e das pessoas com doenças crônicas, raras e neglige..."
22,"Resolução nº 636, de 11 de outubro de 2019",3.00,"04/04/2025","https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2019/resolucao-no-636.pdf/view","...or/Profissional de Saúde; f) Associação de Fisioterapeutas do Brasil (AFB) - Trabalhador/Profissional de Saúde; g) Associação Brasileira Superando o Lúpus, Doenças Reumáticas e Raras (SUPE..."
23,"Resolução nº 698, de 14 de setembro de 2022",3.00,"06/10/2022","https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2022/resolucao-no-698.pdf/view","...União Geral dos Trabalhadores (UGT). II - Suplentes: a) Agência Nacional de Vigilância Sanitária (ANVISA); b) Associação Brasileira Superando o Lúpus, Doenças Reumáticas e Doenças Raras (..."
24,"Resolução nº 501, de 7 de maio de 2015",3.00,"04/04/2025","https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2015/resolucao-no-501.pdf/view","...banas; d) de entidades, coletivos e movimentos de jovens e de idosos e aposentados; e e) de grupos, associações e movimentos de pessoas com deficiências, patologias e doenças raras ou negligenc..."
25,"Resolução nº 688, de 14 de setembro de 2022",3.00,"06/10/2022","https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2022/resolucao-no-688.pdf/view","...iação Amigos Múltiplos pela Esclerose (AME); e) Associação Brasileira de Saúde Coletiva (ABRASCO); f) Associação Brasileira Superando o Lúpus, Doenças Reumáticas e Doenças Raras (SUPERA..."
26,"Resolução nº 613, de 13 de dezembro de 2018",3.00,"04/04/2025","https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2018/resolucao-no-613.pdf/view","...ecialmente, a participação de entidades, coletivos e movimentos de jovens e de idosos e aposentados; e e) Pessoas com deficiência e com necessidades especiais, patologias e doenças raras ou neg..."
27,"Resolução no 547, de 09 de junho 2017",3.00,"04/04/2025","https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2017/resolucao-no-547.pdf/view","...erias urbanas; IV – de entidades, coletivos e movimentos de jovens e de idosos e aposentados; e V – de grupos, associações e movimentos de pessoas com deficiência, patologias e doenças raras ou..."
28,"Resolução nº 625, de 11 de outubro de 2019",2.00,"04/04/2025","https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2019/resolucao-no-625.pdf/view","...̧ão Nacional de Luta Contra a AIDS (ANAIDS) - Usuário; k) Central Única dos Trabalhadores (CUT) - Usuário; l) Associação Brasileira Superando o Lúpus, Doenças Reumáticas e Raras (SUPERANDO..."
29,"Resolução nº 716, de 20 de julho de 2023",2.00,"24/07/2023","https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2023/resolucao-no-716.pdf/view","...nal de Saúde: a) Fernanda Lou Sans Magano - Federação Nacional dos Psicólogos (FENAPSI); e b) Ana Lúcia Marçal Paduello - Associação Brasileira Superando o Lúpus, Doenças Reumáticas e Ra..."
